District,Interval_Start,Latitude,Longitude,Precip,Pressure,Humidity_2m,RH_2m,Temp_2m,WetBulbTemp_2m,MaxTemp_2m,MinTemp_2m,TempRange_2m,EarthSkinTemp,WindSpeed_10m,MaxWindSpeed_10m,MinWindSpeed_10m,WindSpeedRange_10m,WindSpeed_50m,MaxWindSpeed_50m,MinWindSpeed_50m,WindSpeedRange_50m,Year,Month
Banke,3/2/2006,28.1,81.7,3.607467363,92.25411227,10.25501958,53.9504047,22.06631201,10.81951044,27.9593342,17.29353786,10.66577023,21.45682115,2.338681462,3.962382507,0.941409922,3.020874674,3.065483029,4.556912533,1.312428198,3.244516971,2006,3
Banke,5/12/2010,28.1,81.7,4.154079634,92.204047,10.77251305,57.81885117,22.09997389,11.88922324,27.72257833,17.4960248,10.22668407,21.57574413,2.396860313,4.12095953,0.970861619,3.150071802,3.156377285,4.705698433,1.400411227,3.30537859,2010,5
Banke,7/22/2014,28.1,81.7,4.096335728,92.25883083,10.97828217,55.5097518,22.52478119,11.89321359,28.21674722,17.98234487,10.23437622,21.79818419,2.359908556,4.117021555,0.900783801,3.215858916,3.115179621,4.696172436,1.314206401,3.382018289,2014,7
Banke,9/30/2018,28.1,81.7,3.291028446,92.42179431,10.49772429,59.73967177,20.86540481,11.71400438,26.42472648,16.46829322,9.95654267,20.01684902,2.243435449,3.914135667,0.844004376,3.070262582,2.952210066,4.543676149,1.195798687,3.347943107,2018,9
Bara,1/1/1981,27.2,85,2.47444517,95.19920366,9.854471279,48.28398825,23.28535901,10.13094648,29.69108355,18.21078329,11.48037859,22.97106397,2.413975196,4.095593995,0.928146214,3.167708877,3.32651436,4.950110966,1.368531332,3.581442559,1981,1
Bara,3/12/1985,27.2,85,2.60075718,95.18218016,9.810815927,48.24375326,23.93167102,10.09617493,30.29617493,18.76430157,11.53159922,23.69571149,2.428479112,4.091233681,0.928093995,3.163035248,3.33441906,4.96093342,1.374281984,3.586325065,1985,3
Bara,5/22/1989,27.2,85,2.038296345,95.18530679,9.714125326,44.22390339,24.5287859,9.651063969,31.06221279,19.27144909,11.79077023,24.49951044,2.539791123,4.250287206,0.991031332,3.259412533,3.467767624,5.169908616,1.480848564,3.688733681,1989,5
Bara,8/1/1993,27.2,85,1.953146214,95.17881854,9.738204961,44.83722585,24.33825065,9.485084856,30.9239295,19.16334856,11.7605483,24.23156005,2.485450392,4.29886423,0.937232376,3.361194517,3.390254569,5.123922977,1.384144909,3.739719321,1993,8
Bara,10/11/1997,27.2,85,1.97073107,95.19272846,9.98633812,46.76875979,23.95437337,9.793674935,30.44280679,18.95588773,11.48714099,23.77253264,2.43517624,4.124640992,0.943883812,3.180509138,3.322767624,4.965828982,1.398825065,3.566977807,1997,10
Bara,12/21/2001,27.2,85,2.442996084,95.26025457,10.26292428,50.43765013,23.53759138,11.2263577,29.79973238,18.58558094,11.21418407,23.24928198,2.326227154,3.898263708,0.897415144,3.000737598,3.211899478,4.832062663,1.332232376,3.499849869,2001,12
Bara,3/2/2006,27.2,85,3.530430809,95.21574413,11.22928851,56.08003916,23.48997389,12.71144256,29.29261097,18.82415796,10.46844648,23.1341188,2.204778068,3.701684073,0.841253264,2.860600522,3.052036554,4.576494778,1.249412533,3.327043081,2006,3
Bara,5/12/2010,27.2,85,3.674223238,95.16342689,11.5302154,58.13837467,23.40599869,13.33043081,29.19359661,18.75814621,10.43511097,23.15440601,2.299758486,3.873466057,0.951240209,2.921932115,3.197865535,4.748328982,1.42310705,3.325117493,2010,5
Bara,7/22/2014,27.2,85,3.673919007,95.2061855,12.07771391,57.94873939,23.98213586,13.97491182,29.56496408,19.5789484,9.986054866,23.48895493,2.253487916,3.803115611,0.867635532,2.935349445,3.156446767,4.748974526,1.319464402,3.429575441,2014,7
Bara,9/30/2018,27.2,85,3.057789934,95.37967177,11.21621444,58.27984683,22.79695842,13.14849015,28.58923414,18.34299781,10.24678337,22.37606127,2.22750547,3.779846827,0.864814004,2.914726477,3.13297593,4.767877462,1.284223195,3.483479212,2018,9
Bardiya,1/1/1981,28.3,81.4,2.79252611,94.74375326,9.496462141,47.90552872,22.87689948,9.795417755,29.41780026,17.39883159,12.01906658,22.22118146,2.337708877,3.968903394,0.854007833,3.115130548,3.151657963,4.822800261,1.193139687,3.629360313,1981,1
Bardiya,3/12/1985,28.3,81.4,2.51924282,94.72015666,8.950613577,43.35390992,23.98576371,8.706220627,30.74957572,18.15585509,12.59375326,23.47773499,2.416331593,4.126958225,0.891201044,3.235828982,3.246853786,5.001964752,1.248785901,3.752983029,1985,3
Bardiya,5/22/1989,28.3,81.4,2.205966057,94.72400783,9.263413838,42.86751305,24.33069191,9.035639687,31.04178198,18.67163838,12.37016971,24.02639034,2.432695822,4.199556136,0.875019582,3.324275457,3.258204961,5.023537859,1.229947781,3.793387728,1989,5
Bardiya,8/1/1993,28.3,81.4,1.459765013,94.71784595,8.958981723,40.15889687,24.55008486,8.346403394,31.4646671,18.78706266,12.67784595,24.37336815,2.468603133,4.35464752,0.849144909,3.505528721,3.266103133,5.077584856,1.201449086,3.875907311,1993,8
Bardiya,10/11/1997,28.3,81.4,1.768426893,94.73625979,9.041436031,41.73120104,24.01210183,8.305744125,30.83321149,18.42756527,12.40529373,23.63907963,2.332983029,4.103831593,0.786781984,3.316684073,3.064171018,4.778903394,1.082565274,3.696090078,1997,10
Bardiya,12/21/2001,28.3,81.4,2.270182768,94.7901436,9.315613577,45.54067885,23.6939752,9.473903394,30.2593342,18.28802219,11.97150783,23.18744778,2.321129243,3.996292428,0.821644909,3.174725849,3.093903394,4.794673629,1.144536554,3.650104439,2001,12
Bardiya,3/2/2006,28.3,81.4,3.504980418,94.74984987,10.62589426,52.68760444,23.52585509,11.73669713,29.57912533,18.37543081,11.2035705,22.90856397,2.211207572,3.709007833,0.824634465,2.883870757,2.981409922,4.540254569,1.15401436,3.385907311,2006,3
Bardiya,5/12/2010,28.3,81.4,4.057238903,94.69590731,11.24627937,57.23302219,23.52252611,12.98339426,29.26465405,18.64317232,10.62170366,22.99432768,2.278922977,3.863237598,0.868962141,2.994125326,3.096383812,4.725587467,1.259693211,3.46573107,2010,5
