Latitude,Longitude,Year,Month,Drought_Index,temp_2m_lag1,precip_lag1,wetbulb_diff,avg_windspeed,max_avg_windspeed,Temp_2m_scaled,Pressure_scaled,Humidity_2m_scaled,WetBulbTemp_2m_scaled,EarthSkinTemp_scaled,WindSpeed_10m_scaled,Heat_Stress_Index_scaled
28.3,83.6,1981,1,1.19218268372436,21.53161926,3.549015317,9.874144908,2.1911847255,4.399523499,0.5648722283244709,0.5397594176698115,0.42714663943022263,0.5414160283424118,0.5383067705892969,0.1531268293364385,0.564640038234009
28.3,83.6,1985,3,1.2847054179599042,13.10631201,2.31982376,11.381879893,2.2820398175,4.568704308,0.5943872773770522,0.5401489397417312,0.3959634819175872,0.5180777098590614,0.5726644114500933,0.21791022538398575,0.592632922669378
28.3,83.6,1989,5,1.30612791681709,14.0113577,2.002415144,10.998479117,2.2975489555,4.63674282,0.599816524189231,0.5404091788798897,0.4367184394638774,0.5393711576768973,0.5847093051742178,0.2288186964546186,0.5991459021429503
28.3,83.6,1993,8,1.3920216899236975,14.17783943,1.921847258,11.542558750000001,2.3055646215,4.715770235,0.5997447869999153,0.5402236199003771,0.4175144248588621,0.5182172362554808,0.584464073209493,0.2367471058290922,0.598512325723186
28.3,83.6,1997,10,1.373717161207597,14.17563969,1.488785901,11.662930807,2.2582343345,4.5958779375,0.5975034797144846,0.5403945775488905,0.41835098888136774,0.5108946277606705,0.5781589489074282,0.2142032156756215,0.5963416868767317
28.3,83.6,2001,12,1.251171333013024,14.10691253,1.569706266,10.530163185,2.186876632,4.406119452,0.5849901360507004,0.5414115024772606,0.4273897192276844,0.5399009535769121,0.559904590485766,0.16154837357961704,0.5843510208831348
28.3,83.6,2006,3,0.9845096479327857,13.72320496,2.124007833,8.752859004000001,2.114565927,4.1359986945,0.5874291991829689,0.5408926972385664,0.5228227046753706,0.6116208104830392,0.5591302953557679,0.10544584219789699,0.5895392418496486
28.3,83.6,2010,5,0.8192329364784728,13.79799608,3.479634465,7.914184073,2.1689556135,4.255326371,0.5875439361602597,0.5398418546180725,0.5634774449536242,0.6442335904774698,0.56255473121661,0.13392434911581463,0.590844152026436
28.3,83.6,2014,7,0.5939056930572915,13.80151436,4.312813316,7.0782756330000005,2.091796212,4.026894187,0.5939056930572914,0.5414067194071643,0.6268620812409884,0.6841570564250944,0.55586436176892,0.07112376774653573,0.5989342506521876
28.3,83.6,2018,9,0.8185541038885256,13.99659046,5.479973873,6.735886214999999,2.0065317284999997,3.8850875275,0.5463881501351922,0.5433259827306898,0.5466441372928852,0.6409925037193844,0.5062030073825783,0.018041951447205218,0.5500416358940733
29.5,80.5,1981,1,1.2160923485407569,12.5395186,4.108905908,9.802695822,2.2874379895,4.622767624,0.42935989378777517,0.41280518427738033,0.2703822050458872,0.38327321438475753,0.41219085898534913,0.22830855738442568,0.42731833542325615
29.5,80.5,1985,3,1.2946789718506886,8.950979112,1.51671671,11.474275461000001,2.3532278069999997,4.80154047,0.4651056447948412,0.413600350631963,0.23924737927230483,0.36098867412256147,0.45437200622536944,0.27515206692161787,0.46141510275739506
29.5,80.5,1989,5,1.3819662362032052,10.04708225,1.300900783,11.251325061,2.3637140995,4.9162271539999995,0.47674792462531357,0.4137396720244757,0.27108656790875924,0.38344635854742254,0.47724989876541,0.29047323997250163,0.4737517138627624
29.5,80.5,1993,8,1.3566953731074989,10.40407963,0.919830287,10.722382511000001,2.3467232375,4.887375979,0.47027817027818253,0.41352004319496083,0.2945373712806047,0.39624664214753147,0.4681383480285587,0.27880806272296277,0.46810300403404104
29.5,80.5,1997,10,1.332256551481984,10.20569191,1.014543081,11.443635771,2.320835509,4.769784595,0.46762453411441507,0.41371883478360627,0.27113205646342414,0.36516612494480444,0.45849857328636756,0.26116150568951046,0.4648174301381957
29.5,80.5,2001,12,1.2210145741429959,10.12432115,1.124288512,10.405013055,2.2741351175,4.585244778,0.4547780489622578,0.4145638893492052,0.2762104340339681,0.3901312403639799,0.4386066781510978,0.21981049260635732,0.45238430926605966
