District,Interval_Start,Latitude,Longitude,Precip,Pressure,Humidity_2m,RH_2m,Temp_2m,WetBulbTemp_2m,MaxTemp_2m,MinTemp_2m,TempRange_2m,EarthSkinTemp,WindSpeed_10m,MaxWindSpeed_10m,MinWindSpeed_10m,WindSpeedRange_10m,WindSpeed_50m,MaxWindSpeed_50m,MinWindSpeed_50m,WindSpeedRange_50m,Year,Month,Heat_Stress_Index,Drought_Index,is_monsoon,is_winter,temp_2m_lag1,precip_lag1,wetbulb_diff,avg_windspeed,max_avg_windspeed
Doti,2006-03-02,29.2,80.9,2.833074413,83.50431462,8.548655352,55.18793081,16.74051567,6.288968668,22.9160248,11.57221279,11.34370757,15.8807376,2.094915144,3.998355091,0.49406658,3.504262402,2.388139687,3.988994778,0.650124021,3.338857702,2006,3,17.5953812052,1.2088165151114965,0,0,16.67370757,1.989875979,10.451547002000002,2.2415274155,3.9936749345
Doti,2010-05-12,29.2,80.9,3.450646214,83.45578982,9.197865535,60.51255875,16.77498042,7.794308094,22.55190601,11.94140339,10.61038512,16.02885117,2.099530026,4.066279373,0.472389034,3.59404047,2.410456919,4.115045692,0.635874674,3.479321149,2010,5,17.6947669735,1.087348428497934,0,0,16.74051567,2.833074413,8.980672325999999,2.2549934725,4.0906625325
Doti,2014-07-22,29.2,80.9,2.732932724,83.51909863,9.29836708,57.10507511,17.42423906,7.618804703,23.42128674,12.62341607,10.79790333,16.6605356,2.155689092,4.335558459,0.470783801,3.864774657,2.471979099,4.36369693,0.639288047,3.724389288,2014,7,18.354075768,1.2509926548161845,1,0,16.77498042,3.450646214,9.805434357000001,2.3138340955,4.3496276945
Doti,2018-09-30,29.2,80.9,2.287352298,83.62763676,8.690743982,61.38380744,15.5014442,7.122428884,21.44199125,10.60442013,10.83763676,14.50592998,2.041728665,3.940809628,0.448971554,3.491597374,2.358862144,4.010919037,0.603282276,3.408161926,2018,9,16.3705185982,1.2767377356327376,1,0,17.42423906,2.732932724,8.379015316,2.2002954045000003,3.9758643324999996
Gorkha,1981-01-01,28.0,84.6,1.757140992,73.75996084,6.624301567,58.68231723,9.19247389,0.211605744,14.99711488,4.698577023,10.29847258,9.134373368,2.227056136,4.947669713,0.311031332,4.636684073,2.027225849,3.978922977,0.381651436,3.597415144,1981,1,9.8549040467,1.1762421042916213,0,1,15.5014442,2.287352298,8.980868146,2.1271409925,4.463296345
Gorkha,1985-03-12,28.0,84.6,1.611971279,73.7887141,6.476377285,55.6731658,10.0047846,-0.013903394,15.95664491,5.315319843,10.64140992,10.11740862,2.295881201,5.030593995,0.318015666,4.712650131,2.077800261,4.016703655,0.390097911,3.626625326,1985,3,10.6524223285,1.2315500480252193,0,0,9.19247389,1.757140992,10.018687994,2.186840731,4.523648825
Gorkha,1989-05-22,28.0,84.6,1.42654047,73.79828982,6.757206266,55.86923629,10.25722585,0.44593342,16.19312663,5.71191906,10.48109008,10.59979765,2.349902089,5.189033943,0.325685379,4.863387728,2.119575718,4.136488251,0.40267624,3.733733681,1989,5,10.9329464766,1.2765918058679027,0,0,10.0047846,1.611971279,9.81129243,2.2347389035000003,4.662761097000001
Gorkha,1993-08-01,28.0,84.6,1.190496084,73.79028068,6.657819843,54.52203655,10.21045039,0.046455614,16.22420366,5.597956919,10.62612924,10.52807441,2.331775457,5.226677546,0.323335509,4.903348564,2.099915144,4.166951697,0.402571802,3.764295039,1993,8,10.8762323743,1.3219227337706658,1,0,10.25722585,1.42654047,10.163994776000001,2.2158453005,4.6968146215
Gorkha,1997-10-11,28.0,84.6,1.247624021,73.79696475,6.659582245,54.27295039,10.24821802,-0.185724543,16.26278721,5.730835509,10.53186684,10.41843995,2.313877285,5.174614883,0.326298956,4.848113577,2.071657963,4.105894256,0.398178851,3.707571802,1997,10,10.9141762445,1.311814130218846,0,0,10.21045039,1.190496084,10.433942562999999,2.192767624,4.6402545695
Gorkha,2001-12-21,28.0,84.6,1.792930809,73.83402089,6.780776762,58.77258486,9.720476501,0.609686684,15.56730418,5.230515666,10.33680809,9.65426893,2.224719321,4.89845953,0.319497389,4.578857702,2.007219321,3.885411227,0.390535248,3.494986945,2001,12,10.398554177200001,1.1863566372112055,0,1,10.24821802,1.247624021,9.110789817,2.1159693209999997,4.3919353785
Gorkha,2006-03-02,28.0,84.6,2.495907311,73.8208812,7.377748042,63.40740209,10.03706919,1.90848564,15.54554178,5.700835509,9.844667102,9.969007833,2.174843342,4.728753264,0.332650131,4.396285901,1.978368146,3.752278068,0.409791123,3.342382507,2006,3,10.774843994200001,1.0571358216765714,0,0,9.720476501,1.792930809,8.12858355,2.076605744,4.240515666
Gorkha,2010-05-12,28.0,84.6,3.08654047,73.77842037,7.70406658,66.42991514,10.0045235,2.697872063,15.33597911,5.709732376,9.626462141,9.980887728,2.20194517,4.794556136,0.331912533,4.462748042,2.015763708,3.869947781,0.414699739,3.455326371,2010,5,10.774930158,0.9388299094147746,0,0,10.03706919,2.495907311,7.306651436999999,2.108854439,4.3322519585
Gorkha,2014-07-22,28.0,84.6,4.130633573,73.84825604,8.319849771,70.96058785,10.2363096,3.947439582,15.15459177,6.330516003,8.823847159,9.861136512,2.093481385,4.50751143,0.33427825,4.173442195,1.951796212,3.67926192,0.417165251,3.262220771,2014,7,11.0682945771,0.739129534418602,1,0,10.0045235,3.08654047,6.288870018000001,2.0226387985,4.093386675
Gorkha,2018-09-30,28.0,84.6,3.401597374,73.90347921,7.562691466,71.24201313,8.720525164,2.56380744,13.84838074,4.615251641,9.232800875,8.204835886,2.043238512,4.416849015,0.332056893,4.084923414,1.904420131,3.623107221,0.397330416,3.225514223,2018,9,9.476794310599999,0.8344157277207882,1,0,10.2363096,4.130633573,6.156717724,1.9738293214999998,4.019978118
Gulmi,1981-01-01,28.1,83.2,2.632447781,80.033453,7.577748042,55.93708225,13.66754569,3.75785248,19.59593995,9.214947781,10.38097258,12.90153394,2.345019582,4.806298956,0.651879896,4.154490862,2.554673629,4.507891645,0.860124021,3.647656658,1981,1,14.425320494200001,1.1484275380494078,0,1,8.720525164,3.401597374,9.90969321,2.4498466055,4.6570953005
Gulmi,1985-03-12,28.1,83.2,2.270163185,80.04822454,7.272160574,51.73979765,14.59351175,3.109079634,20.81541123,9.818263708,10.9970235,14.03535248,2.455750653,5.019373368,0.682656658,4.336873368,2.657780679,4.673668407,0.902421671,3.771240209,1985,3,15.320727807399999,1.250540695819184,0,0,13.66754569,2.632447781,11.484432115999999,2.556765666,4.8465208875000005
Gulmi,1989-05-22,28.1,83.2,2.159986945,80.06030679,7.659490862,52.86553525,14.74674935,3.67477154,20.88237598,10.11157311,10.7708094,14.38495431,2.468296345,5.103368146,0.672016971,4.431331593,2.66575718,4.719138381,0.898165796,3.820776762,1989,5,15.5126984362,1.2774087333328383,0,0,14.59351175,2.270163185,11.07197781,2.5670267625000003,4.9112532635
Gulmi,1993-08-01,28.1,83.2,1.570887728,80.05244778,7.431070496,50.28722585,14.80355744,2.98520235,21.11129896,10.10261097,11.00875326,14.4791188,2.503890339,5.258498695,0.665561358,4.593035248,2.683211488,4.856507833,0.881429504,3.975182768,1993,8,15.546664489600001,1.396201385400113,1,0,14.74674935,2.159986945,11.81835509,2.5935509134999997,5.057503264
Gulmi,1997-10-11,28.1,83.2,1.742291123,80.05921018,7.430045692,50.39451044,14.70537206,2.789164491,21.03471932,10.05880548,10.97592037,14.21233029,2.428120104,5.08381201,0.623766319,4.459947781,2.569562663,4.627532637,0.813537859,3.813798956,1997,10,15.4483766292,1.3589747020657317,0,0,14.80355744,1.570887728,11.916207569,2.4988413835000003,4.8556723235
