,District,Interval_Start,Latitude,Longitude,Precip,Pressure,Humidity_2m,RH_2m,Temp_2m,WetBulbTemp_2m,MaxTemp_2m,MinTemp_2m,TempRange_2m,EarthSkinTemp,WindSpeed_10m,MaxWindSpeed_10m,MinWindSpeed_10m,WindSpeedRange_10m,WindSpeed_50m,MaxWindSpeed_50m,MinWindSpeed_50m,WindSpeedRange_50m,Elevation
521,Sarlahi,1985-03-11,26.9,85.5,2.743563968668408,94.8016906005222,9.953028720626632,49.94321801566579,23.475019582245437,10.263988250652742,29.82853785900783,18.27065274151436,11.5582637075718,23.365045691906005,2.574791122715405,4.367421671018277,1.031266318537859,3.335920365535248,3.5522519582245438,5.298100522193211,1.5244647519582246,3.773479112271541,90.0
522,Sarlahi,1989-05-21,26.9,85.5,2.013825065274151,94.80366840731072,9.792088772845952,45.362454308094,24.12679503916449,9.7022454308094,30.64664490861619,18.811103133159268,11.83572454308094,24.24582245430809,2.6781592689295035,4.538838120104439,1.0689164490861618,3.470065274151436,3.652375979112272,5.477708877284596,1.590939947780679,3.8866318537859006,90.0
523,Sarlahi,1993-07-31,26.9,85.5,2.096818774445893,94.79492177314212,9.871101694915254,46.41623859191655,23.897561929595827,9.63183181225554,30.455547588005214,18.70644719687093,11.74883963494133,23.928350717079528,2.6266492829204693,4.542601043024772,1.031205997392438,3.5111473272490223,3.5947066492829203,5.4221316818774445,1.5339048239895698,3.887692307692308,90.0
524,Sarlahi,1997-10-12,26.9,85.5,2.014738903394256,94.8101631853786,10.129771540469974,48.421599216710185,23.51169712793733,9.963505221932117,29.994001305483028,18.462030026109662,11.53184725848564,23.46418407310705,2.5839882506527414,4.390104438642298,1.0385770234986944,3.351370757180157,3.5390992167101825,5.300319843342036,1.5451109660574414,3.755065274151436,90.0
525,Sarlahi,2001-12-22,26.9,85.5,2.4145401174168297,94.8782909328115,10.382609262883236,51.93641878669276,23.11508806262231,11.322981082844096,29.386666666666667,18.139119373776907,11.247586431833009,22.973437703848663,2.4710437051532943,4.20525766470972,0.97559686888454,3.2298891063274624,3.420958904109589,5.165414220482713,1.4497912589693414,3.715668623613829,90.0
526,Sarlahi,2006-03-04,26.9,85.5,3.387121409921671,94.83185378590078,11.209947780678853,56.69372062663185,23.17592689295039,12.59971279373368,29.0569908616188,18.417251958224544,10.639595300261098,22.98744778067885,2.3704895561357704,4.006814621409921,0.9490339425587468,3.057434725848564,3.290450391644909,4.930953002610966,1.4087793733681462,3.5218668407310707,90.0
527,Sarlahi,2010-05-14,26.9,85.5,3.420026109660575,94.77851174934726,11.4486227154047,58.181325065274144,23.120561357702343,13.061579634464753,29.008942558746732,18.351958224543083,10.657362924281983,23.04727806788512,2.5039751958224543,4.198909921671018,1.1107767624020888,3.088093994778068,3.509060052219321,5.153870757180156,1.65556135770235,3.498446475195822,90.0
528,Sarlahi,2014-07-24,26.9,85.5,3.24102413568167,94.8227397260274,11.978630136986302,58.03996086105675,23.741154598825837,13.72583822570124,29.450482713633395,19.217860404435747,10.232883235485977,23.458121330724072,2.4323091976516635,4.126262230919766,0.9896607958251794,3.1364970645792565,3.409471624266145,5.118297455968689,1.4993281148075668,3.6191389432485326,90.0
529,Sarlahi,2018-10-04,26.899999999999995,85.5,2.558876651982379,94.99151982378856,10.9613436123348,57.05856828193833,22.669603524229075,12.599735682819382,28.612444933920703,18.038348017621143,10.573766519823788,22.481960352422902,2.4309251101321587,4.143590308370044,0.9826211453744492,3.161277533039648,3.422555066079295,5.219273127753304,1.4655286343612337,3.753215859030837,90.0
530,Sindhuli,1981-01-01,27.2,85.9,2.32581045751634,90.81803267973856,9.323078431372547,50.663647058823535,20.671032679738563,8.519287581699347,26.742542483660127,16.048843137254902,10.693967320261438,20.22583660130719,2.3371764705882354,4.295496732026144,0.8498562091503268,3.445738562091503,2.984366013071895,4.490457516339869,1.2248366013071896,3.2657124183006534,556.0
531,Sindhuli,1985-03-11,27.2,85.9,2.4653524804177547,90.81246083550914,9.314973890339424,50.66259138381201,21.298596605744127,8.616155352480419,27.352199738903398,16.56219321148825,10.790169712793734,20.933603133159263,2.357832898172324,4.263054830287206,0.8501892950391645,3.412806788511749,2.999960835509138,4.480130548302872,1.2351697127937336,3.2448498694516967,556.0
532,Sindhuli,1989-05-21,27.2,85.9,1.845195822454308,90.81976501305483,9.235483028720626,46.93582898172324,21.800084856396868,8.212291122715405,28.02536553524804,16.967415143603134,11.058022193211489,21.67933420365535,2.426383812010444,4.401063968668407,0.8705156657963448,3.530411227154047,3.056625326370757,4.605874673629243,1.271168407310705,3.334804177545692,556.0
533,Sindhuli,1993-07-31,27.2,85.9,1.7743350717079531,90.80734680573664,9.207477183833117,46.93739895697523,21.72522816166884,7.91993481095176,28.026316818774447,16.948389830508475,11.077946544980444,21.54726857887875,2.437535853976532,4.504732724902216,0.8555019556714472,3.649263363754889,3.0734485006518906,4.684250325945241,1.2307953063885266,3.453096479791395,556.0
534,Sindhuli,1997-10-12,27.2,85.9,1.7366840731070496,90.81924281984334,9.410750652741514,48.618224543080935,21.437741514360315,8.172369451697127,27.67695822454308,16.802225848563968,10.8747454308094,21.161742819843344,2.3673563968668407,4.349654046997389,0.8370496083550913,3.512513054830287,2.980248041775457,4.490509138381201,1.2210052219321148,3.269327676240209,556.0
535,Sindhuli,2001-12-22,27.2,85.9,2.309654272667971,90.88326157860403,9.724409654272668,52.86834964122635,20.96764514024788,9.613007175472928,26.94025440313112,16.445759947814743,10.494285714285716,20.56941943900848,2.2445792563600784,4.090971950424005,0.8027984344422701,3.2881669928245274,2.8548727984344424,4.30924983692107,1.1675407697325506,3.1418003913894323,556.0
536,Sindhuli,2006-03-04,27.2,85.9,3.146351174934726,90.841272845953,10.514562663185378,57.59749347258486,21.070261096605744,10.90819190600522,26.67451044386423,16.741227154047,9.933178851174937,20.645332898172324,2.1759856396866843,3.938922976501306,0.7835509138381201,3.1552219321148827,2.773968668407311,4.142669712793733,1.1447650130548304,2.997878590078329,556.0
537,Sindhuli,2010-05-14,27.2,85.9,3.383289817232376,90.78727154046996,10.792872062663186,59.33446475195822,21.00992819843342,11.43261096605744,26.589425587467364,16.6908681462141,9.898642297650133,20.66332245430809,2.2947454308093995,4.103681462140992,0.92806135770235,3.1757506527415145,2.96766318537859,4.369314621409922,1.3645039164490862,3.004817232375979,556.0
538,Sindhuli,2014-07-24,27.2,85.9,3.31542726679713,90.84054794520549,11.425883887801696,60.491748206131774,21.516177429876063,12.371715590345728,26.78633398564905,17.51262230919765,9.273939986953684,20.93023483365949,2.2250489236790605,4.028949771689498,0.8051076320939334,3.223926940639269,2.8845988258317026,4.340593607305936,1.2081474233529028,3.1325114155251144,556.0
